原码       频率       哈夫曼编码                                                                                           长度  十进制    
215        0          101001100110100011111111111111111111111111111111110001111100100101111                                69    14780813977029507375
216        0          101001100110100011111111111111111111111111111111110001111100011                                      63    5995557741425320931
217        0          101001100110100011111111111111111111111111111111110001111100010                                      63    5995557741425320930
218        0          101001100110100011111111111111111111111111111111110001111100100100101010                             72    7566047373978749226
219        0          1010011001101000111111111111111111111111111111111100011111001001011101                               70    11114883880349463133
220        0          101001100110100011111111111111111111111111111111110001111100100100100                                69    14780813977029507364
221        0          10100110011010001111111111111111111111111111111111000111110011100                                    65    5535486891991732124
222        0          101001100110100011111111111111111111111111111111110001111100111010111                                69    14780813977029507543
223        0          1010011001101000111111111111111111111111111111111100011111001001001011000                            73    15132094747957498456
224        0          101001100110100011111111111111111111111111111111110001111100100100101101                             72    7566047373978749229
225        0          101001100110100011111111111111111111111111111111110001111100100100101110                             72    7566047373978749230
226        80         001001000                                                                                            9     72        
227        0          1010011001101000111111111111111111111111111111111100011111001001001011001                            73    15132094747957498457
228        0          10100110011010001111111111111111111111111111111111000111110011101010                                 68    7390406988514753770
229        0          1010011001101000111111111111111111111111111111111100011111001001001011110                            73    15132094747957498462
230        0          10100110011010001111111111111111111111111111111111000111110011101011011                              71    3783023686989375323
231        0          10100110011010001111111111111111111111111111111111000111110010010010101111                           74    11817445422205445295
232        0          10100110011010001111111111111111111111111111111111000111110010010010111111                           74    11817445422205445311
233        0          10100110011010001111111111111111111111111111111111000111110010010010111110                           74    11817445422205445310
234        0          101001100110100011111111111111111111111111111111110001111100111010110101                             72    7566047373978750645
235        0          10100110011010001111111111111111111111111111111111000111110011101001                                 68    7390406988514753769
236        0          10100110011010001111111111111111111111111111111111000111110010010010101100                           74    11817445422205445292
237        0          1010011001101000111111111111111111111111111111111100011111001110101100                               70    11114883880349463468
238        0          1010011001101000111111111111111111111111111111111100011111001110101101000                            73    15132094747957501288
239        0          1010011001101000111111111111111111111111111111111100011111001001001010110101                         76    10376293541402677941
240        0          1010011001101000111111111111111111111111111111111100011111001001001010111000                         76    10376293541402677944
241        0          1010011001101000111111111111111111111111111111111100011111001001001010110110                         76    10376293541402677942
242        0          10100110011010001111111111111111111111111111111111000111110011101011010010                           74    11817445422205450962
243        0          10100110011010001111111111111111111111111111111111000111110010010010101110010                        77    2305843009095804274
244        0          1010011001101000111111111111111111111111111111111100011111001001001010110111111                      79    9223372036383217087
245        0          10100110011010001111111111111111111111111111111111000111110010010010101101110                        77    2305843009095804270
246        0          101001100110100011111111111111111111111111111111110001111100111010110100110                          75    5188146770701350310
247        0          10100110011010001111111111111111111111111111111111000111110010010010101110011110                     80    18446744072766434206
248        0          10100110011010001111111111111111111111111111111111000111110010010010101110011000                     80    18446744072766434200
249        0          1010011001101000111111111111111111111111111111111100011111001001001010111001110                      79    9223372036383217102
250        0          1010011001101000111111111111111111111111111111111100011111001110101101001110                         76    10376293541402700622
251        0          101001100110100011111111111111111111111111111111110001111100100100101011100111110                    81    18446744071823316798
252        0          101001100110100011111111111111111111111111111111110001111100100100101011100110010                    81    18446744071823316786
253        0          10100110011010001111111111111111111111111111111111000111110011101011010011110                        77    2305843009095849630
254        0          1010011001101000111111111111111111111111111111111100011111001001001010111001111111                   82    18446744069937081983
255        0          10100110011010001111111111111111111111111111111111000111110011101011010011111                        77    2305843009095849631
